,State_Name,District_Name,YEAR,Season,Crop,Area,Production,City,Temp,Annual_rainfall,produceperarea
38,Tamil nadu,COIMBATORE,2008,Whole Year ,Groundnut,8255.0,27278.0,Chennai,27.672950819672128,1203.4,3.3044215626892792
39,Tamil nadu,COIMBATORE,2008,Whole Year ,Horse-gram,1939.0,1038.0,Chennai,27.672950819672128,1203.4,0.5353274883960805
40,Tamil nadu,COIMBATORE,2008,Whole Year ,Jowar,34484.0,18434.0,Chennai,27.672950819672128,1203.4,0.5345667555967986
41,Tamil nadu,COIMBATORE,2008,Whole Year ,Maize,5692.0,146154.0,Chennai,27.672950819672128,1203.4,25.67709065354884
42,Tamil nadu,COIMBATORE,2008,Whole Year ,Moong(Green Gram),1565.0,1123.0,Chennai,27.672950819672128,1203.4,0.7175718849840256
43,Tamil nadu,COIMBATORE,2008,Whole Year ,Onion,779.0,29198.0,Chennai,27.672950819672128,1203.4,37.481386392811295
44,Tamil nadu,COIMBATORE,2008,Whole Year ,Ragi,43.0,86.0,Chennai,27.672950819672128,1203.4,2.0
45,Tamil nadu,COIMBATORE,2008,Whole Year ,Sesamum,873.0,369.0,Chennai,27.672950819672128,1203.4,0.422680412371134
46,Tamil nadu,COIMBATORE,2008,Whole Year ,Small millets,8.0,6.0,Chennai,27.672950819672128,1203.4,0.75
47,Tamil nadu,COIMBATORE,2008,Whole Year ,Sugarcane,2581.0,812334.0,Chennai,27.672950819672128,1203.4,314.7361487795428
48,Tamil nadu,COIMBATORE,2008,Whole Year ,Sunflower,29.0,426.0,Chennai,27.672950819672128,1203.4,14.689655172413794
49,Tamil nadu,COIMBATORE,2008,Whole Year ,Sweet potato,2.0,27.0,Chennai,27.672950819672128,1203.4,13.5
50,Tamil nadu,COIMBATORE,2008,Whole Year ,Tapioca,797.0,43875.0,Chennai,27.672950819672128,1203.4,55.05018820577165
51,Tamil nadu,COIMBATORE,2008,Whole Year ,Tobacco,132.0,676.0,Chennai,27.672950819672128,1203.4,5.121212121212121
52,Tamil nadu,COIMBATORE,2008,Whole Year ,Turmeric,1221.0,12451.0,Chennai,27.672950819672128,1203.4,10.197379197379197
53,Tamil nadu,COIMBATORE,2008,Whole Year ,Urad,1094.0,849.0,Chennai,27.672950819672128,1203.4,0.7760511882998172
54,Tamil nadu,CUDDALORE,2008,Kharif     ,Rice,107817.0,223882.0,Chennai,27.672950819672128,1203.4,2.0764999953625125
55,Tamil nadu,CUDDALORE,2008,Kharif     ,Small millets,1874.0,2900.0,Chennai,27.672950819672128,1203.4,1.5474919957310567
56,Tamil nadu,CUDDALORE,2008,Whole Year ,Arecanut,1.0,2.0,Chennai,27.672950819672128,1203.4,2.0
57,Tamil nadu,CUDDALORE,2008,Whole Year ,Arhar/Tur,114.0,69.0,Chennai,27.672950819672128,1203.4,0.6052631578947368
58,Tamil nadu,CUDDALORE,2008,Whole Year ,Bajra,1842.0,2914.0,Chennai,27.672950819672128,1203.4,1.5819761129207384
59,Tamil nadu,CUDDALORE,2008,Whole Year ,Banana,4308.0,164032.0,Chennai,27.672950819672128,1203.4,38.076137418755806
60,Tamil nadu,CUDDALORE,2008,Whole Year ,Cashewnut,30003.0,24302.0,Chennai,27.672950819672128,1203.4,0.8099856680998567
61,Tamil nadu,CUDDALORE,2008,Whole Year ,Castor seed,9.0,6.0,Chennai,27.672950819672128,1203.4,0.6666666666666666
62,Tamil nadu,CUDDALORE,2008,Whole Year ,Coconut ,2524.0,505000.0,Chennai,27.672950819672128,1203.4,200.07923930269413
63,Tamil nadu,CUDDALORE,2008,Whole Year ,Coriander,597.0,206.0,Chennai,27.672950819672128,1203.4,0.34505862646566166
64,Tamil nadu,CUDDALORE,2008,Whole Year ,Cotton(lint),4821.0,2965.0,Chennai,27.672950819672128,1203.4,0.6150176311968472
65,Tamil nadu,CUDDALORE,2008,Whole Year ,Dry chillies,112.0,56.0,Chennai,27.672950819672128,1203.4,0.5
66,Tamil nadu,CUDDALORE,2008,Whole Year ,Groundnut,15437.0,39126.0,Chennai,27.672950819672128,1203.4,2.534559823799961
67,Tamil nadu,CUDDALORE,2008,Whole Year ,Horse-gram,2.0,1.0,Chennai,27.672950819672128,1203.4,0.5
68,Tamil nadu,CUDDALORE,2008,Whole Year ,Jowar,878.0,730.0,Chennai,27.672950819672128,1203.4,0.8314350797266514
69,Tamil nadu,CUDDALORE,2008,Whole Year ,Maize,11881.0,21720.0,Chennai,27.672950819672128,1203.4,1.8281289453749685
70,Tamil nadu,CUDDALORE,2008,Whole Year ,Moong(Green Gram),2251.0,509.0,Chennai,27.672950819672128,1203.4,0.22612172367836517
71,Tamil nadu,CUDDALORE,2008,Whole Year ,Onion,40.0,378.0,Chennai,27.672950819672128,1203.4,9.45
72,Tamil nadu,CUDDALORE,2008,Whole Year ,Ragi,105.0,265.0,Chennai,27.672950819672128,1203.4,2.5238095238095237
73,Tamil nadu,CUDDALORE,2008,Whole Year ,Sesamum,3588.0,1948.0,Chennai,27.672950819672128,1203.4,0.5429208472686734
74,Tamil nadu,CUDDALORE,2008,Whole Year ,Small millets,1874.0,2900.0,Chennai,27.672950819672128,1203.4,1.5474919957310567
